feature,importance
gw_passpd,0.2125163387052632
bmi,0.1996495144621346
age_years,0.11192089873567375
type_of_sod,0.04443411389504166
panc_div,0.043036848226462546
acinarz,0.03825164128285999
pd_stent,0.032944930055322716
history_of_pep,0.03235285993435041
>2gw_passpd,0.028668083793385937
gw_cann,0.02754777831761198
diff_cann,0.023625534102101886
cholecy,0.023537644788556644
nsaid_use,0.02022341139730335
min_pap_sphinc,0.018459579678048493
pneum_dil_wobs,0.017072128961526083
gender_,0.016537072856830527
panc_inj>2,0.013587550162241899
recurr_panc,0.013226784429093513
panc_inj,0.012874222026447016
failed_cann,0.012249924924238998
bil_sphinc,0.010758955008662696
panc_brush_cyto,0.009990421194029025
panc_sphinc,0.009839415534927226
pb_mal,0.007826569197297184
trainee,0.006847937072004158
precut_sphinc,0.0054677816930657685
sod,0.0033058405523967126
intensive_hydration,0.0032462190131222037
